,,,Stats,,,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FGA,FT%,FTA,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
1,Shai Gilgeous-Alexander,OKC,28,973,872,162,181,77,23,29,54.3,582,90.9,232,1.68,2.50,0.10,1.33,5.41,0.23,-0.62,1.81,2.69
2,Nikola Jokic,DEN,31,1046,817,382,285,37,25,35,54.1,577,81.4,194,1.43,2.17,3.17,3.05,1.18,0.36,-0.40,1.72,0.22
3,Joel Embiid,PHI,25,854,874,293,150,29,49,28,54.0,544,89.3,289,1.40,2.51,1.93,0.81,0.33,1.82,-0.66,1.62,2.84
4,Luka Doncic,DAL,29,1074,978,245,268,40,18,116,48.9,683,78.5,247,1.34,3.13,1.26,2.77,1.49,-0.07,2.57,0.05,-0.49
5,Anthony Davis,LAL,29,1038,722,360,92,31,72,11,54.7,499,80.5,205,1.06,1.61,2.86,-0.15,0.54,3.23,-1.29,1.68,0.02
6,Scottie Barnes,TOR,30,1050,621,282,178,45,42,63,49.1,475,76.7,120,0.96,1.01,1.77,1.28,2.02,1.40,0.63,0.11,-0.52
7,LeBron James,LAL,28,960,711,217,204,41,20,64,53.9,488,74.2,163,0.84,1.54,0.87,1.71,1.60,0.05,0.66,1.43,-1.12
8,Trae Young,ATL,28,1020,786,85,316,36,5,100,43.3,568,86.6,224,0.82,1.99,-0.98,3.57,1.07,-0.87,1.99,-1.71,1.53
9,Giannis Antetokounmpo,MIL,30,1042,925,328,167,40,37,11,60.6,564,67.1,343,0.80,2.81,2.41,1.09,1.49,1.09,-1.29,3.75,-5.00
10,Tyrese Haliburton,IND,26,884,646,104,313,24,15,93,50.5,455,85.3,109,0.79,1.15,-0.71,3.52,-0.20,-0.25,1.73,0.49,0.56
11,Damian Lillard,MIL,29,1019,745,130,201,30,6,96,43.5,499,91.9,234,0.75,1.74,-0.35,1.66,0.43,-0.80,1.84,-1.44,2.96
12,Kevin Durant,PHX,26,962,784,166,153,21,28,56,51.9,520,87.0,216,0.74,1.97,0.15,0.86,-0.52,0.54,0.37,0.94,1.58
13,Stephen Curry,GSW,28,939,781,127,124,19,10,134,46.5,529,93.4,166,0.70,1.96,-0.39,0.38,-0.73,-0.56,3.24,-0.65,2.36
14,Chet Holmgren,OKC,29,866,507,225,72,22,79,45,53.4,348,84.1,107,0.68,0.33,0.98,-0.48,-0.41,3.66,-0.04,0.96,0.41
15,Kawhi Leonard,LAC,27,932,658,160,95,41,18,63,52.1,468,87.7,122,0.65,1.23,0.07,-0.10,1.60,-0.07,0.63,0.91,0.96
16,Paul George,LAC,28,967,640,154,114,45,10,93,45.3,497,93.3,104,0.63,1.12,-0.01,0.21,2.02,-0.56,1.73,-0.94,1.44
17,Desmond Bane,MEM,28,972,706,126,149,32,19,99,46.3,557,85.8,106,0.54,1.51,-0.41,0.80,0.65,-0.01,1.95,-0.74,0.61
18,Tyrese Maxey,PHI,29,1081,747,113,190,23,16,94,45.9,564,88.2,153,0.54,1.75,-0.59,1.48,-0.31,-0.19,1.77,-0.88,1.30
19,Karl-Anthony Towns,MIN,28,928,615,262,82,24,17,53,51.6,430,90.1,131,0.52,0.97,1.49,-0.32,-0.20,-0.13,0.26,0.73,1.37
20,Jalen Brunson,NYK,30,1069,780,119,178,34,4,86,48.0,581,81.0,168,0.50,1.95,-0.50,1.28,0.86,-0.93,1.47,-0.23,0.09
21,Jayson Tatum,BOS,28,1029,752,239,119,26,14,83,47.7,539,80.3,193,0.50,1.78,1.17,0.30,0.01,-0.32,1.36,-0.31,-0.02
22,Victor Wembanyama,SAS,26,779,477,275,74,35,79,35,43.3,413,77.1,109,0.49,0.15,1.67,-0.45,0.96,3.66,-0.40,-1.21,-0.43
23,James Harden,LAC,25,844,443,121,193,37,21,69,47.0,279,86.8,129,0.48,-0.05,-0.48,1.53,1.18,0.11,0.85,-0.22,0.89
24,Dejounte Murray,ATL,30,1031,607,135,160,47,11,70,45.8,506,83.0,88,0.46,0.92,-0.28,0.98,2.23,-0.50,0.88,-0.80,0.22
25,Domantas Sabonis,SAC,29,1009,564,351,214,24,18,13,59.1,372,67.3,165,0.45,0.67,2.74,1.88,-0.20,-0.07,-1.21,2.21,-2.39
26,Derrick White,BOS,26,846,431,101,136,32,33,72,49.5,291,87.7,81,0.37,-0.12,-0.75,0.58,0.65,0.85,0.96,0.18,0.61
27,Brook Lopez,MIL,31,953,393,152,42,23,90,51,48.2,301,82.5,63,0.36,-0.35,-0.04,-0.98,-0.31,4.33,0.18,-0.04,0.11
28,Donovan Mitchell,CLE,22,803,610,123,121,40,10,68,45.3,468,88.7,133,0.36,0.94,-0.45,0.33,1.49,-0.56,0.81,-0.87,1.20
29,Anthony Edwards,MIN,26,893,654,145,138,36,13,63,45.3,505,84.7,157,0.35,1.20,-0.14,0.61,1.07,-0.38,0.63,-0.94,0.73
30,Alperen Sengun,HOU,29,928,605,270,146,30,23,20,53.2,449,71.8,149,0.34,0.91,1.61,0.75,0.43,0.23,-0.95,1.16,-1.42
31,Jonas Valanciunas,NOP,31,864,457,307,77,18,40,22,57.3,316,78.5,93,0.33,0.03,2.12,-0.40,-0.84,1.27,-0.88,1.56,-0.22
32,Cade Cunningham,DET,30,1045,691,124,211,30,9,56,44.5,577,87.1,139,0.33,1.42,-0.43,1.83,0.43,-0.62,0.37,-1.35,1.00
33,Nikola Vucevic,CHI,31,1054,517,321,106,26,23,34,45.2,480,87.5,56,0.26,0.39,2.32,0.08,0.01,0.23,-0.44,-0.92,0.40
34,DeMar DeRozan,CHI,30,1099,671,111,164,33,24,29,45.6,509,83.6,213,0.25,1.30,-0.61,1.04,0.75,0.30,-0.62,-0.88,0.74
35,De'Aaron Fox,SAC,23,808,694,105,141,38,9,78,48.7,501,73.6,174,0.24,1.44,-0.70,0.66,1.28,-0.62,1.18,0.01,-1.32
36,Fred VanVleet,HOU,28,1055,473,113,239,31,15,78,39.2,398,87.4,95,0.24,0.13,-0.59,2.29,0.54,-0.25,1.18,-2.08,0.70
37,Myles Turner,IND,28,767,480,210,33,17,62,38,51.5,332,80.6,124,0.22,0.17,0.77,-1.13,-0.94,2.62,-0.29,0.57,0.01
38,Mikal Bridges,BKN,31,1054,655,163,117,28,13,61,46.0,506,83.1,154,0.21,1.21,0.11,0.26,0.22,-0.38,0.55,-0.74,0.45
39,Tobias Harris,PHI,30,1023,514,184,87,28,12,37,51.1,380,90.8,98,0.20,0.37,0.40,-0.23,0.22,-0.44,-0.33,0.53,1.09
40,Jaren Jackson,MEM,29,915,619,168,46,21,49,45,46.3,454,83.2,185,0.19,0.99,0.18,-0.92,-0.52,1.82,-0.04,-0.60,0.57
41,Franz Wagner,ORL,30,1015,619,175,120,33,10,40,46.2,494,83.7,147,0.17,0.99,0.28,0.31,0.75,-0.56,-0.22,-0.69,0.51
42,Coby White,CHI,32,1118,565,133,159,24,8,94,44.9,452,81.3,80,0.16,0.67,-0.31,0.96,-0.20,-0.68,1.77,-0.94,0.04
43,Michael Porter,DEN,32,1009,529,246,49,15,27,90,47.3,431,73.8,42,0.14,0.46,1.27,-0.87,-1.15,0.48,1.62,-0.31,-0.35
44,Bogdan Bogdanovic,ATL,28,802,502,94,75,37,8,97,45.4,399,89.6,48,0.14,0.30,-0.85,-0.43,1.18,-0.68,1.88,-0.71,0.44
45,Austin Reaves,LAL,31,910,467,144,155,29,3,53,47.7,342,88.0,100,0.14,0.09,-0.15,0.90,0.33,-0.99,0.26,-0.16,0.81
